,Tweet,Label,preprocessing_text,text_len
691,"hari ini udah bacotin banyak banget anak ml idiot dan aku yang menang semua, kasian udah goblok ga jago ngatain",0,hari bacot banyak sangat anak ml idiot aku menang semua kasihan goblok jago maki,14
692,@BONGKAR_M4T4 Si idiot @baliandra2  lg ngoceh. Sana loe pelajari lagi sejarah berdirinya PKI. Loe tau tokoh PKi Haji Misbach kagak. Lu pikir mereka anti agama? Wakakaka goblooog unlimited.,1,sih idiot oceh sana kamu ajar sejarah diri partai komunis indonesia kamu tau tokoh partai komunis indonesia haji misbach kamu pikir anti agama wkwk goblok unlimited,26
693,"PELAKU NANGIS2 DEPAN LAYAR, MINTA MAAF TERUS FANSNYA YANG IDIOT MAAFIN GITU AJA. IDIH FIX DRAMA!!",0,laku tangis depan layar minta maaf terus fannya idiot maaf idih fix drama,13
694,"@Gub_Gobl0g @aswan691 @Tita83079013 @pranayoga168 @_ASNBB eh IDIOT, Ahok menjabat apa di Pertamina? Elu anggap Pertamina itu sebuah provinsi wilayah kependudukan? Elu makin IDIOT krn otak latah ikut2 kedunguan netizen ttg kerugian Pertamina. Pdhl udah lama ada penjelasan Pertamina.",0,eh idiot ahok jabat apa pertamina kamu anggap pertamina buah provinsi wilayah duduk kamu makin idiot otak latah ikut dungu warganet rugi pertamina padahal lama jelas pertamina,27
695,@ttmymoodb Mereka yg idiot malah gue yg capek.,0,idiot malah cape,3
696,@tanyakanrl tolol goblok idiot ga punya otak kah?,1,tolol goblok idiot punya otak,5
697,"@musniumar Profesor gadungan pantes otakmu idiot, ga punya malu lagi kau… saya lebih percaya google timbang kau dongok.",1,profesor gadungan pantas otak kamu idiot punya malu kamu lebih percaya google timbang kamu dungu,15
698,"Kalau bisa membuat Indonesia terlibat dalam konflik yg tidak diperlukan, menjadi urusan bangsa. Dasar kadrun idiot, emosi doank dibesarkan",1,kalau buat indonesia libat konflik perlu jadi urus bangsa dasar kadrun idiot emosi doang besar,15
699,lu ga idiot sehari ga bisa apa?,1,kamu idiot hari apa,4
700,"TV Indonesia itu tujuannya bukan mencerdaskan kehidupan bangsa!!!  Kalo bikin geblek itu lebih mudah, why not??",0,televisi indonesia tuju bukan cerdas hidup bangsa kalau bikin geblek lebih mudah,12
701,Kasian bayinya punya emak geblek gini,1,kasihan bayi punya ibu geblek begini,6
702,aduh geblek malah bablas tidur,0,aduh geblek malah bablas tidur,5
703,@Relawananies Rame bukan karena eloo...tpi karena liat undian dorprize jalan sante.... Geblek loo.. !!,0,ramai bukan kamu lihat undi dorprize jalan santai geblek kamu,10
704,"tadi ngeluh laper pengen makan, terus ke inget """"lah kan ga puasa? ngapain nahan lapar siah geblek",0,tadi keluh lapar makan terus ingat lah kan puasa apa tahan lapar siah geblek,14
705,@silvrrlight Dih geblek.. atau mrekanya seterkenal itu kali.,0,ih geblek mereka kenal kali,5
706,@sedikitmiringg @sosmedkeras Hahha malik nama bapak lo ya? Geblek dah lo ud kaya plg bener aja,1,haha malik nama bapak kamu geblek kamu pulang benar,9
707,"@arfibambani ini kalo dilaporin ke pihak terkait asik sih. narasinya kejauhan, menunjukkan kalo pihak yg ga sengaja ngegilas ibu ibunya itu salah. padahal dari video aja jelas si ibunya yang geblek ngambil arah kiri dan langsung nyalip, yang mana disitu ada blindspot",0,kalau lapor pihak kait asyik sih narasi jauh tunjuk kalau pihak sengaja ngegilas ibu ibu salah padahal video jelas sih ibu geblek ambil arah kiri langsung nyalip mana situ blindspot,30
708,"Geblek pantes bingung kok ceritanya ga nymbung, ternyata belum nonton ep terakhir di season 1",0,geblek pantas bingung kok cerita sambung nyata tonton ep akhir season,11
709,"Mungkin maksudnya seperti gambar pesawat nyungsep kali yak ðŸ™„ðŸ˜‹ hahaha bablas keluar angkasa ðŸ˜†ðŸ˜‚ badut lu pade Bani GEblek ðŸ¤¡ isi otak kebanyakan dijejali tipuan NASA Wkwkwkkk.... Bumi cilok gak masuk akal sama sekali, ðŸ¤§ https://t.co/Is8nLre0b1",1,mungkin maksud gambar pesawat nyungsep kali haha bablas keluar angkasa badut kamu pakde bani geblek isi otak banyak jejal tipu nasa wkwk bumi cilok masuk akal sama sekali,28
710,"@ahsan_kan @abu_waras Hanya orang gila, orang goblok, orang geblek, yg ikut opini itu",1,orang gila orang goblok orang geblek ikut opini,8
711,makin begok..lu jgn ngaku ngaku org jkt dsar monyet! Gw bkn cina dsar geblek lu arap pesek sok tau hahha!!  Dsar kdrun jongos si pnghianat,1,makin bodoh kamu jangan aku aku orang jakarta dasar monyet bukan cina dasar geblek kamu arap pesek sok tau haha dasar kadrun jongos sih pnghianat,25
712,"Gue nonton reborn rich berasa geblek dah.. sumpah ga ngerti itu knapaa, ada apa.. investasi naik turun gina ginu.. pusing anjrot ekwkwkkw",0,tonton lahir rich asa geblek sumpah erti apa investasi naik turun gina ginu pusing anjrit wkwk,16
713,GEBLEK WKWKW LAGI MINUM ES LANGSUNG NYEMBUR,0,geblek wkwk minum es langsung sembur,6
714,YA ALLAHHHHHHHHH alhamdulillah ya ternyata masih ada orang yg lebih geblek dari gue,0,allah alhamdulillah nyata orang lebih geblek,6
715,ini orang beneran mulutnya kaga pernah bisa dijaga wkwkwk geblek.,0,orang benar mulut pernah jaga wkwk geblek,7
716,Wkwkwkw ini lucu banget ngerasa di serang dan ngerasa di sakiti karna dia yg buat masalah duluan wkwkwkwkwk anjir geblek,0,wkwk lucu sangat rasa serang rasa sakit buat masalah lebih wkwk anjir geblek,13
717,"Njirr geblek bgt omegatt mo taruh mana muka gw, dunia emang keras yaa",0,anjir geblek sangat astaga mau taruh mana muka dunia memang keras,11
718,"Geblek bgt ni org2 yak, iya tau mau ada acara tp ya nyalain musiknya ga abis subuh juga kali. Kemaren acara pengajian jam 1 tp setengah 7 udh nyalain musik. Dmn2 mah kalo nyalain musik gitu pas acaranya aja kali",0,geblek sangat nih orang iya tau mau acara nyala musik habis subuh kali kemarin acara aji jam tengah nyala musik mana kalau nyala musik pas acara kali,27
719,@detikcom Geblek keadilan dari mana? Yg di rugikan masyarakat indo,0,geblek adil mana rugi masyarakat indonesia,6
720,"Harusnya mereka bilang saya akan menerima uang yang kamu berikan, tapi tidak bisa kalau harus merusak negara saya demi uangmu, karena nasib dan masa depan bangsa dan negara saya tidak ternilai harganya! Sini duitnya! Geblek-geblek memang, gitu saja gak tahu!",0,harus bilang terima uang kamu ikan kalau rusak negara uang nasib masa depan bangsa negara nilai harga sini duit geblek geblek memang tahu,23
721,@kendelline @almoniacs HAHAHAHA dua orang geblek jadi satu jadi gini,1,haha orang geblek jadi satu jadi begini,7
722,Lu kalo kaya duidnya banyak jangan lah beli mobil yang kedap suara klakson/sirine dari luar. Keliatan geblek banget tau. Jelas jelas ada sirine ambulan mau lewat. Tapi klean malah klaksonin kendaraan didepan buat cepet jalan. Sementara ambulannya mau nyebrang.,0,kamu kalau duit banyak jangan lah beli mobil kedap suara klakson sirine luar lihat geblek sangat tau jelas jelas sirine ambulans mau lewat kalian malah klakson kendara depan buat cepat jalan ambul mau seberang,34
723,Temen seperjuangan gue sampe SPEECHLESS gue mengiyakan hal ini. Geblek brrti gue ni beneran,0,teman juang speechless iya geblek arti nih benar,8
724,@AisyahDeny @krisanggono Sama-sama geblek tapi beda jalur,0,sama sama geblek beda jalur,5
725,Logika kaum heliosentris alias GEblek terlalu konyol haha ðŸ˜„ https://t.co/ScfWrdCmt6,0,logika kaum heliosentris alias geblek terlalu konyol haha,8
726,@tanyarlfes lama geblek itu 2 jam berarti 120 menit / 7200 detik. lo bayangin temen lo nungguin elo ngapain koplak selama itu ðŸ˜ mungkin lo gak kasih alasan yang jelas kenapa lo bisa telat? gak usah minta pembelaan sebelum lo koreksi diri lo sendiri,0,lama geblek jam arti menit detik kamu bayang teman kamu tunggu kamu apa kocak lama mungkin kamu kasih alas jelas kamu telat usah minta bela kamu koreksi diri kamu sendiri,30
727,"@tanyarlfes gw kalo jadi Putri langsung gw block si nomor lo. bukan silent treatment lagi. soalnya, lo jelas salah tapi malah merasa ga bersalah. Geblek",0,kalau jadi putri langsung blok sih nomor kamu bukan silent treatment soal kamu jelas salah malah rasa salah geblek,19
728,"Geblek gue mah ah, kebiasaan mulutnya dulu yang ngomong baru mikir tolooooo",0,geblek ah biasa mulut dulu bicara baru pikir tolol,9
729,"@ruangtaktik Baru main setelah 2 bulan, wajar klo belum agresif. Belum lagi teman2nya pd geblek. Hehe",0,baru main bulan wajar kalau agresif teman nya geblek hehe,10
730,@tanyarlfes No salty tapi kamu geblek bgt,1,no salty kamu geblek sangat,5
731,GEBLEK CAKEPMNYA GA NGOTAK ANJG,0,geblek cakap pakai otak anjing,5
732,GEBLEK SIH INI MAH ALESAN DOANG . mending seret ke psikiater langsung cek diagnosa kalau trnyata gak beneran yah mnta rekomendasi pecat aj . geblek emang,0,geblek sih alas doang mending seret psikiater langsung cek diagnosa kalau nyata benar minta rekomendasi pecat geblek memang,18
733,"Geblek, pantes aja ngecas gak masuk masuk taunya terminal gak dicolokin",0,geblek pantas cas masuk masuk tau terminal colok,8
734,Si geblek mau bilang ateis malah ingetnya autis,0,sih geblek mau bilang ateis malah ingat autis,8
735,kirain ini komik serius ternyata dua duanya geblek banget,0,kira komik serius nyata dua geblek sangat,7
736,@FOOD_FESS Ini tuh kaya geblek kalo empuk tapi kalo yg digoreng kriuk gitu klanting deh,0,geblek kalau empuk kalau goreng kriuk klanting deh,8
737,@Metro_TV @Kemenag_RI dari 30 juta sekian. naeknya ke 60 juta sekian. Menteri Geblek,1,juta sekian naik juta sekian menteri geblek,7
738,"Geblek, langsung di azab disitu jg lu",1,geblek langsung azab situ kamu,5
739,"@detikcom geblek, yg laen umroh pengen nabung pahala yg ini malah nabung dosa.",1,geblek umrah tabung pahala malah tabung dosa,7
740,"Wkwk geblek udah tau hujan langsung gede, guling pake segala nyangkut di genteng",0,wkwk geblek tau hujan langsung besar guling pakai segala sangkut genteng,11
741,ya kalo bukan itupun orangnya kata gue sih bisa infokan siapa orangnya atau minimal close aja kata gue. dari ga ada keributan jadi ada keributan kan ya geblek yaaaa lagian mimin yg bertugas juga ada otak tapi ga dipake ya pasti diserang lah,0,kalau bukan itu orang kata sih info siapa orang minimal close kata ribut jadi ribut kan geblek lagi admin tugas otak pakai serang lah,24
742,@maspiyu_aja Emang nya yg di ngarab jg tdk ada kenaikan utk semua cost drun. Ke mars sj Sono kadrun geblek,1,memang nya ngarab naik semua cost kadrun mars sana kadrun geblek,11
743,"@pawluvz Hah ga mungkin, ada yg nolak elo? Geblek banget tu penghuni kerak neraka ",0,ha mungkin tolak kamu geblek sangat huni kerak neraka,9
744,@jaka_suk @notafanofsushi @addxtiv @adriansyahyasin Bcd lu geblek,1,bacot kamu geblek,3
745,@ch_chotimah2 @aniesbaswedan @rahmaniarbaftim @CCICPolri @ListyoSigitP @DivHumas_Polri Kampret  dun emang geblek.. mulutnya gilaaa kotor beut kyk comberan. otak kagak dipake cuma mulut yg ngebacot. miris. Semangat mbak @ch_chotimah2. Hajar kampret dun.. jgn lelah ngeberantas para penyinyir negeri ini.,1,kampret dun memang geblek mulut gila kotor sangat comberan otak pakai cuma mulut bacot miris semangat mbak hajar kampret dun jangan lelah berantas nyinyir negeri,25
746,@desy_c @yumabun @ellisapark wah ini si geblek wkwkwkwkwk sama persis,0,wah sih geblek wkwk sama persis,6
747,"Emg geblek bgt, udah tau kerja pagi malah siang kmaren makan pedes tuh",0,memang geblek sangat tau kerja pagi malah siang kemarin makan pedas,11
748,"@juvefcdotcom Hahaha, geblek banget. Kalem Juve, saya tetap mendukungmu!!",0,haha geblek sangat kalem juventus tetap dukung,7
749,"Libur panjang maunya sekolah, sekolah panjang mau nya libur O,o kan geblek kan.",0,libur panjang mau sekolah sekolah panjang mau nya libur o o kan geblek kan,14
750,"@ndagels Geblek itu mak2... Motong jalan, maen ribut.. pergi gak pake ganti rugi..",0,geblek ibu potong jalan main ribut pergi pakai ganti rugi,10
751,@Akumoodyanafp Kok kesannya semua malah nyuruh Andin mati ... beneran yang nulis dialog geblek,1,kok kesan semua malah suruh andin mati benar tulis dialog geblek,11
752,"@Penietiwinibiti Iya emg geblek anjjj, lagaknya udh kek penyelamat, tapi mereka tuh gatau apa gimana sih ditiap tempat tuh ada peraturan, bikin huru hara aja, terus minta duit, enak bener",0,iya memang geblek anjing lagak selamat tau apa bagaimana sih tiap tempat atur bikin huru hara terus minta duit enak benar,21
753,"Kaget anjir tetiba ada kecoa depan muka, mana kecoa terbang, geblek!",0,kaget anjir tiba kecoa depan muka mana kecoa terbang geblek,10
754,"asli ni guru jepang gila apa gimana ya, ngejelasin materi berasa lagi di kejar polisi karna ketauan make narkotika. gue jd ketinggalan catatan geblek nya lagi bukan cuma gue yg ketinggalan catatan. TAPI INI SEKELAS WOII",1,asli nih guru jepang gila apa bagaimana jelas materi asa kejar polisi tahu make narkotika jadi tinggal catat geblek nya bukan cuma tinggal catat kelas oi,26
755,Ha. Ha. Ha.. Mulut Wan Geblek Sampahhh..,1,apa apa apa mulut wan geblek sampah,7
756,Halahhh.. Sama pahon mahoni di monas saja tak Adil.. Hanya bani Kadrun yg percaya ma Wan Geblek ini,1,alah sama pahon mahoni monas adil bani kadrun percaya sama wan geblek,12
757,"biasanya klo udah geblek salah ngitung terus diem. Emg penyakit bangsa ini tu kebodohan, dan bener adanya. Ni contohnya, begoknya sampe ke DNA.",1,biasa kalau geblek salah hitung terus diam memang sakit bangsa bodoh benar ada nih contoh bodoh dna,17
758,Yakali logika hukum ghibah di pake di kasus pencabulan. Ustadz oon sih ini. Nge les aja pengen enak enak lalu masuk surga pake hadis ghibah. Geblek otaknya,1,kali logika hukum ghibah pakai kasus cabul ustaz bodoh sih nge les enak enak lalu masuk surga pakai hadis ghibah geblek otak,22
759,udah!! Ini geblek betul wkwkwk,0,geblek betul wkwk,3
760,@_yabegitulah Gak geblek sih kak. Kebetulan orang baik yang lagi sial aja.,0,geblek sih kakak betul orang baik sial,7
761,@maychocomint2 WKWKWKWKK GEBLEK BGT SIANG2 MINUM TEQUILA,0,wkwk geblek sangat siang minum tequila,6
762,"@kdrama_menfess Lucu banget ini asli, sekelurga geblek semua, ada aja kelakuannya",0,lucu sangat asli keluarga geblek semua laku,7
763,GEBLEK GW NYENGIR  https://t.co/W7YOBOmoHD,0,geblek sengir,2
764,nabil tolol ih ah geblek lu,0,nabil tolol ih ah geblek kamu,6
765,@yasminazafira @daraprayoga_ @aisyhsonyia filternya geblek,0,filter geblek,2
766,@CELENGxISABELLE YA GIMANA AKUNNYA RUSAK GEBLEK,0,bagaimana akun rusak geblek,4
767,"@fthasya_ Beneran penulisnya anak piyikkk ini, apa Jan jangan penulis lagi bales dendam tentang kehidupan real nya dia, trus dilampiasin ke cerita ini, geblek betol",0,benar tulis anak piyikkk apa jangan jangan tulis balas dendam hidup asli nya terus lampias cerita geblek betul,18
768,"terkadang konten yang kita buat udah bagus, tapi algoritma platform aja yg geblek",0,terkadang konten buat bagus algoritma platform geblek,7
769,@adit_youtuber geblek lo mah dit,1,geblek kamu dit,3
770,"Pemainnya bodoh, wasitnya tambah geblek",1,main bodoh wasit tambah geblek,5
771,"@MiskinTV_ Geblek netijen, orang mau flexing tas Fendi Ahmad, malah komenin korek tokai.",0,geblek warganet orang mau flexing tas fendi ahmad malah komentar korek tokai,12
772,elu yang sok iye geblek,0,kamu sok iya geblek,4
773,"@Dennysiregar7 Ngk percaya sy,kl org yg dimaksud bodoh, masak mntan penjabat dibilang bodoh, kl dibilang geblek sy percaya",0,percaya kalau orang maksud bodoh masak mantan jabat bilang bodoh kalau bilang geblek percaya,14
774,geblek bgt ya udah 3 tahun tapi utang puasa gapernah dibayar,0,geblek sangat tahun utang puasa pernah bayar,7
775,@Jeiino1 Di jaman begini anak sultan kok bisa ilang sampai tahunan… geblek penulisnya,1,jaman begini anak sultan kok hilang tahun geblek tulis,9
776,"Bimbingannya haha hihi doang, maluu geblek, diketawain kaprodi lagi",0,bimbing haha hihi doang malu geblek tawa kaprodi,8
777,@Dennysiregar7 @AndiSinulingga statement lo udah kayak yg paling ahli ekonomi aja gak sesimple itu kali menganalogikan negara susah sih klo otaknya cma sjutaan ama 300k haahh geblek!!,0,nyata kamu kayak paling ahli ekonomi simpel kali analogi negara susah sih kalau otak cuma juta sama k ha geblek,20
778,wkwk geblek nobar konser online di bioskop. mending lu pasang layar tancep aja di kamar lu pake ngide di bioskop,0,wkwk geblek tonton bareng konser online bioskop mending kamu pasang layar tancap kamar kamu pakai beri ide bioskop,18
779,sumpah geblek bangetttt lu nau,1,sumpah geblek sangat kamu nau,5
780,@susuultramatcha Geblek ya lu apa perempuan ama laki sksksk,0,geblek kamu apa perempuan sama laki sksksk,7
781,@gojek24jam Si geblek bener2 manusia begini enakan dimusnahin aja,1,sih geblek benar manusia begini enak musnah,7
782,"kalo yg ngomong gini fandom adem ayem sih gapapa ya, LAH INI????? fandom lu kan tukang war juga geblek, tukang ikut campur urusan fandom lain pula. NGACA TOLOLLLLLLL",1,kalau bicara begini fandom adem ayem sih apa apa lah fandom kamu kan tukang war geblek tukang ikut campur urus fandom kaca tolol,23
783,@Askrlfess geblek pisan manusia ini,1,geblek sangat manusia,3
784,@9313Wak Perempuan geblek...,1,perempuan geblek,2
785,"@an_ti_ka_drun Ini orang makin lama kenapa makin geblek iya jangan"""" Kesambet juga",0,orang makin lama makin geblek iya jangan kesambet,8
786,@Askrlfess Geblek amat dikau saya terheran2..,1,geblek dikau heran,3
787,hasil foto gw hri ini miring semua geblek,0,hasil foto hari miring semua geblek,6
788,"@Paltiwest Cebong memaknai tulisan aja gak nalar, geblek.",1,cebong makna tulis nalar geblek,5
789,"Udah tau punya lambung, malahan makan makaroni bantet yg ekstra pedas. Perih kan??ðŸ¤£ðŸ¤£ Emang bocah geblek",0,tau punya lambung malah makan makaroni bantat ekstra pedas perih kan memang bocah geblek,14
790,Kamu yang geblek,1,kamu geblek,2
791,si geblek bukannya bimbingan malah turu,0,sih geblek bukan bimbing malah tidur,6
792,@inikaye super sekali sabda anda mas geblek,1,super sekali sabda mas geblek,5
793,"Geblek banget akuuu, lupa kalo akun twitterku ga tak kunci, main share skrinsut beserta nomor HP Ibu, alhamdulillah ada orang baik yg ngingetin",0,geblek sangat aku lupa kalau akun twitter aku kunci main bagi screenshot serta nomor handphone ibu alhamdulillah orang baik ingat,20
794,Dari utas tweet ini hampir semuanya persepsi dari data pak @prastow .. seolah pintar padahal geblek .. pantes saja asupan persepsi ke tuannya ditelan mentah2 seolah2 kritik bagus padahal dodo,1,utas twit hampir semua persepsi data bapak pintar padahal geblek pantas asupan persepsi tuan tel mentah kritik bagus padahal dodo,20
795,@hppytoseeu Aku lebih kaget pengeluaran makan siang bawa bekal atau beli sama aja. Join geblek moment,0,aku lebih kaget keluar makan siang bawa bekal beli sama join geblek momen,13
796,Ihh ini mah keren! Yg ngehujat aja geblek,0,ih keren hujat geblek,4
797,@AREAJULID Emang dipikir ngurus anak ga pake otak? Geblek!,0,memang pikir urus anak pakai otak geblek,7
798,"@MomoGembul Geblek, ngerusak reputasi.",1,geblek rusak reputasi,3
799,@nusantara_one Tolol boleh tp jgn geblek bos,1,tolol jangan geblek bos,4
800,"Gila boros banget kuota beli awal bulan, tanggal segini udah 100GB lebih yang kepake",0,gila boros sangat kuota beli awal bulan tanggal gin gb lebih pakai,12
801,@Askrlfess Lo gila ya,1,kamu gila,2
802,gila ya simulasi siaran!!! gila!!!,0,gila simulasi siar gila,4
803,ada gila gilanya ini cowo https://t.co/Q1AinWxdf9,1,gila gila cowok,3
804,@HisyamMochtar Orang gila aja masih ngejaga sholat… apa lgi ini mesjid..,0,orang gila jaga salat apa masjid,6
805,@sipnosislife @Jeiino1 @Gitasa725 Orang gila ini msh aja hidup,1,orang gila hidup,3
806,ade aje pagi pagi kelakuan org gila https://t.co/nRUUMuh3RW,1,adik pagi pagi laku orang gila,6
807,orang gila wkwkwkwk https://t.co/fJv9HywA8G,0,orang gila wkwk,3
808,"@tanyakanrl Lah, itu bilang sendiri ngumpulin modal nikah susah. Terus biaya anaknya gimana? Cmn crot beres kah????? Gila",0,lah bilang sendiri kumpul modal nikah susah terus biaya anak bagaimana cuma crot beres gila,15
809,"@fajarriidwan AAAAAAAAAAAAAAAAA BENER BANGETTT, SUMPAH KEREN GILA SIH, SATU BIOSKOP KEKNYA NANGIS SEMUA PAS ENDINGNYA",0,aaaaaaaaaaaaaaaaa benar sangat sumpah keren gila sih satu bioskop seperti tangis semua pas akhir,14
810,"@dayatpiliang Di bilang """"tunggu kau gila macam mak kau",1,bilang tunggu kamu gila macam ibu kamu,7
811,@jayapuraupdate gila anjing,0,gila anjing,2
812,Mimimal waras jadi gak gila kaya begini,1,mimimal waras jadi gila begini,5
813,"gila memang aksi korporasinya, ilfil banget",1,gila memang aksi korporasi muak sangat,6
814,@starfess udah gila kali,1,gila kali,2
815,@UMonline Makin sesat lebai gila ni,0,makin sesat lebay gila nih,5
816,@JennyJusuf Cryyyy tbl tbl tbl gila nih mamaknya sih parah bets,1,tangis takut sangat loh takut sangat loh takut sangat loh gila nih mamak sih parah sangat,16
817,"bisa bisanyaa nanya kabar, ya jelas gue baik baik ajalah gila kali",0,bisa tanya kabar jelas baik baik saja gila kali,9
818,"@littlepoenies ??? gilak, udah judes + anger issue + gila juga, km dh komplit bgt masuk arkham asylum",1,gila judes anger isu gila km komplit sangat masuk arkham asylum,11
819,Kalau aku gila beneran masih ada yg mau nemenin ga ya,0,kalau aku gila benar mau tani,6
820,lu gila y https://t.co/lqCJPEZe7F,1,kamu gila iya,3
821,@biawaque @SeputarTetangga Masalahnya makin dibiarin makin gak tau diri. Lagian rumah itu privasi orang. Gila aja main masukÂ² kawasan rumah orang tanpa permisi. Etikanya dimana?,0,masalah makin biar makin tau diri lagi rumah privasi orang gila main masuk kawasan rumah orang permisi etika,18
822,@bigbabytoma Gila emg sombong bgt ya laki lumut 1 ini??,1,gila memang sombong sangat laki lumut,6
823,@painstaked Orang gila itu adalah mantan elu,0,orang gila mantan kamu,4
824,Kamu gila aku tetap cinta dan sayang,0,kamu gila aku tetap cinta sayang,6
825,"@convomfs kerenlah, org gila kalo masih ada yang ngehujat",0,keren orang gila kalau hujat,5
826,"@JennyJusuf ibu nya kek nya harus belajar lagi dah buat ngurus anaknya, kasihan dedek nya tapi kalo ini cuma buat konten tiktok doang gila sih ibunya""",1,ibu nya nya ajar buat urus anak kasihan adik nya kalau cuma buat konten tiktok doang gila sih ibu,19
827,ternyata diajak main sama orang gila,0,nyata ajak main sama orang gila,6
828,WIBU GILA ANJINGGG SETRESSS UDAH GA KETOLONG KONTOLLLLL,1,weeaboo gila anjing stres tolong kontol,6
829,DAH GILA ANJIR STRESSS,0,gila anjir stres,3
830,PD gila nih tua bangka,1,gila nih tua bangka,4
831,@Najwalav Semoga makin gila,0,moga makin gila,3
832,@querenseeyaj yg bener tu makin GILA jir udah gak waraz,0,benar makin gila anjir waras,5
833,gue nonton island terpesona dengan ketampanan eun woo kaya GILA LU CAKEP MAKSIMAL TANPA CELAH,0,tonton island pesona tampan eun uhuy gila kamu cakap maksimal celah,11
834,"dih gila banget, manusia paling gila.. sadar tee lo tu terobsesi banget bodoh",1,ih gila sangat manusia paling gila sadar trans esophageal echocardiografi kamu obsesi sangat bodoh,14
835,gila yaa setahun berlalu cpt bgt. kyknya baru kemarin aku mau persiapan magang mbkm:(,0,gila tahun lalu cepat sangat seperti baru kemarin aku mau siap magang mbkm,13
836,"Kalo cerita ke orang suka oversharing , kalo dipendem terus takut gila , jadi luapkan saja wkwk",0,kalau cerita orang suka oversharing kalau pendam terus takut gila jadi luap wkwk,13
837,Udah gila nih orang sebelah jam setengah 3 pagi orang jenguk in org sakit mana rame rame anj,0,gila nih orang belah jam tengah pagi orang jenguk in orang sakit mana ramai ramai anjing,16
838,Nunggu chat kek orng gila,0,tunggu chat orang gila,4
839,"IH GILA LO, SINI LO GUA PUKUL OTAK LO",0,ih gila kamu sini kamu pukul otak kamu,8
840,"Lo anak pertama, lo hampir gila",0,kamu anak pertama kamu hampir gila,6
841,"Stress gila, bisa ya ada yg bilang ""lo ceria bgt kek ga pernah ada masalah""",0,stres gila bilang kamu ceria sangat pernah masalah,8
842,gua pernah naro kucing yg gua temuin di jalan kesini. Sial seumur hidup deh lo pelaku gila,0,pernah naro kucing temuin jalan kesini sial umur hidup deh kamu laku gila,13
843,"emosi banget sama tetangga gila, minimal Lo mikir lah kerumah orang tu jangan asal masuk :) seenggaknya salam kayak kaga pernah sekolah",0,emosi sangat sama tetangga gila minimal kamu pikir lah rumah orang jangan asal masuk enggak salam kayak pernah sekolah,19
844,"I love you, na gila lo sebaik itu masih ada aja yang jahat sama lo.",0,i love kamu na gila kamu baik jahat sama kamu,10
845,@schfess otw gila dek,0,jalan gila adik,3
846,"@ximsunwoo AKU BISA,,, AKU PASTI BISA,,, bisa gila",0,aku aku gila,3
847,"@jayapuraupdate udah gila lo semua gue rasa, puas bgt tuh lo semua udh bunuh odgj? sinting. beneran primitif tuh otak sm kelakuan",1,gila kamu semua rasa puas sangat kamu semua bunuh odgj sinting benar primitif otak sama laku,16
848,Kenyang gila hari ini,0,kenyang gila hari,3
849,"Gini nih kalau phobia sama cicak, dimana mana dia selalu ada. Apalagi di kos ðŸ™ƒtidurnya ditemani cicak""""di dinding. Pengen teriak disangka gila sm penghuni kos",0,begini nih kalau fobia sama cicak mana selalu kos tidur tani cicak dinding teriak sangka gila sama huni kos,19
850,gila kue terenak bro w akan habisin sendiri kalau beli ini,0,gila kue enak saudara habis sendiri kalau beli,8
851,"@bnsphrx Makin Gila hukumnyaa, teroriss JUGA 3 tahun,. aneh.. https://t.co/s2UsipqY8C",0,makin gila hukum teroris tahun aneh,6
852,@FOODFESS2 IYA APA LGI HOTDOGNYA NANGIS SOSISNYA ENAK GILA,0,iya apa hotdognya tangis sosis enak gila,7
853,Kenapa balik dari pantai tu muka aku berpanau? Buruk gila,0,balik pantai muka aku panau buruk gila,7
854,"@tanyarlfes Wahh gila pada mantap2 biaya nikahnya, harus lbh smangat savingnya, ini aja masih nabung buat mahar ",0,wah gila mantap biaya nikah lebih semangat savingnya tabung buat mahar,11
855,"@KaredokLeunca__ @mohmahfudmd Gila memang, Teroris JUGA cuma 3tahun, Gila.. https://t.co/mcwCGNSBps",0,gila memang teroris cuma tahun gila,6
856,gila sih ternyata dijalan orang2 masih pada banyak yg goblok sama sirine ambulans ya?,0,gila sih nyata jalan orang banyak goblok sama sirine ambulans,10
857,"#FactNaomi : selain tergila-gila dengan warna ungu, Naomi juga suka warna pink seperti adiknya, sinka juliani",0,gila gila warna ungu naomi suka warna merah muda adik sinka juliani,12
858,@doqtahu Tapi waktu pertama sekali pkp dia jual 9.90rm . Murah gila,0,waktu pertama sekali pkp jual rm murah gila,8
859,"Terkadang kita membutuhkan kesendirian untuk merenungi hidup, tapi berhati-hatilah ketawa sendiri nanti disangka gila.",0,terkadang butuh sendiri renung hidup hati hati tertawa sendiri sangka gila,11
860,"@Saka17072857 @jayapuraupdate @DivHumas_Polri Tapi apakah warga jawa lantas membakar warga timur yg menjadi pelaku kerusuhan tadi? Itu udah jelas loh siapa2 pelakunya, dan kalo mau mbakar juga kalah jumlah, sama halnya dgn pembakaran org gila di video tsb, malahan statusnya masih terduga",0,warga jawa lantas bakar warga timur jadi laku rusuh tadi jelas lah siapa laku kalau mau bakar kalah jumlah sama hal bakar orang gila video sebut malah status duga,29
